WDPAID,Site,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unknown,Average,Source,Notes
11085,Craig Cerrig Gleisiad a Fan Frynych,,,,,,,,,,,,,,,,15000,,,,,,,,15000,"Hellawell, T., (NRW), pers. comm., (2019)",
11085,Craig Cerrig Gleisiad a Fan Frynych,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11086,Craig y Cilau,,,,,,,,,,,,,,,,8000,,,,,,,,8000,"Hellawell, T., (NRW), pers. comm., (2019)",
11040,Craigellachie,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
11593,Creag Meagaidh,,,,,,,,,,,,,12000,,,,,,,,,,,"12,000",https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
11593,Creag Meagaidh,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
12456,Crymlyn Bog and Pant y Sais,,,,,,,,,,,,,,,,20000,,,,,,,,20000,"Hellawell, T., (NRW), pers. comm., (2019)",
135798,"Culbin Sands, Culbin Forest and Findhorn Bay",,,,,,,,,,,,,,,,*,*,*,*,*,*,,,*,*,
11087,Cwm Clydach,,,,,,,,,,,,,,,,14000,,,,,,,,14000,"Hellawell, T., (NRW), pers. comm., (2019)",
11089,Cwm Idwal,,,,,,,,,,,,,,,,123000,,,,,,,,123000,"Hellawell, T., (NRW), pers. comm., (2019)",
139459,Cynffig/Kenfig,,,,,,,,,,,,,,,,30000,,,,,,,,30000,"Hellawell, T., (NRW), pers. comm., (2019)",
555580952,Dearne Valley,,,,,,,41960,50245,79921,,,,,,,,,,,,,,,57375,"Burton, G., pers. comm. In Balmford et al., (2015)",
183432,Dee Estuary,7675,6181,6849,3657,8940,,8175,8889,7643,,,,,,,,,,,,,,,7251,"Burton, G., pers. comm. In Balmford et al., (2015)",
169804,Dee Estuary/Aber Afon Dyfrdwy,7675,6181,6849,3657,8940,,8175,8889,7643,,,,,,,,,,,,,,,7251,"Burton, G., pers. comm. In Balmford et al., (2015)",
10967,Dendles Wood,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10557,Dengie,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10968,Derbyshire Dales,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
341121,Dersingham Bog,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
93265,Derwent Gorge & Muggleswick Woods,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581280,Dinefwr,,,,,,,,,,,,,,,,30000,,,,,,,,30000,"Hellawell, T., (NRW), pers. comm., (2019)",
139313,Dinefwr Estate,,,,,,,,,,,,,,,,30000,,,,,,,,30000,"Hellawell, T., (NRW), pers. comm., (2019)",
12460,Downton Gorge,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
136366,Duddon Mosses,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
1468,Dyfi,,,,,,,,,,,,,,,,252369,,,,,,,,252369,"Hellawell, T., (NRW), pers. comm., (2019)",
169607,East Dartmoor Woods & Heaths,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
169608,Elmley,10604,9343,13621,3791,11613,,11600,11000,12500,,,,,,,,,,,,,,,"10,509","Burton, G., pers. comm. In Balmford et al., (2015)",
169608,Elmley,,,,,,,,,,,,,,,,,,,,,,,"12,000","12,000","Elmley NNR, pers. comm., (2019)",
140276,Fairburn and Newton Ings,56202,42601,59900,22415,24523,,29665,23957,40666,,,,,,,,,,,,,,,37491,"Burton, G., pers. comm. In Balmford et al., (2015)",
140276,Fairburn and Newton Ings,,,,,,,,,,,,,,,,,,,,,,,"52,781","52,781","Sheil, A., Rayment, G., and Burton, G., (2002)",
93108,Fairburn Ings,56202,42601,59900,22415,24523,,29665,23957,40666,,,,,,,,,,,,,,,37491,"Burton, G., pers. comm. In Balmford et al., (2015)",
93108,Fairburn Ings,,,,,,,,,,,,,,,,,,,,,,,"52,781","52,781","Sheil, A., Rayment, G., and Burton, G., (2002)",
142763,Farne Islands,,,,,,,,,,,,,,,,,,,,,*,*,,*,*,
169836,"Fenn's Whixall, Bettisfield, Wem and Cadney Mosses (Wales)",,,,,,,,,,,,,,,,5000,,,,,,,,5000,"Hellawell, T., (NRW), pers. comm., (2019)",
169836,"Fenn's Whixall, Bettisfield, Wem and Cadney Mosses (Wales)",,,,,,,,,,,,,,,,,,*,,,,,,*,*,
169609,"Fenn's, Whixall & Bettisfield Mosses (England)",,,,,,,,,,,,,,,,5000,,,,,,,,5000,"Hellawell, T., (NRW), pers. comm., (2019)",
169609,"Fenn's, Whixall & Bettisfield Mosses (England)",,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142907,"Fenn's, Whixall and Bettisfield Mosses (Wales)",,,,,,,,,,,,,,,,5000,,,,,,,,5000,"Hellawell, T., (NRW), pers. comm., (2019)",
142907,"Fenn's, Whixall and Bettisfield Mosses (Wales)",,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11042,Flanders Moss,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
93183,Forge Mill Lake,,,,,,,,,,,,,,,,,,,,,,,"17,663","17,663","Sheil, A., Rayment, G., and Burton, G., (2002)",
93183,Forge Mill Lake,24422,15163,14637,11165,14709,,19665,33551,22538,,,,,,,,,,,,,,,"19,481","Burton, G., pers. comm. In Balmford et al., (2015)",
387445,Forsinard Flows,,,,,,,,,,,,,,,,,,,,,,,"4,460","4,460","Sheil, A., Rayment, G., and Burton, G., (2002)",
387445,Forsinard Flows,,,,,,,,,,,,,"4,891",,,,,,,,,,,"4,891",https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
387445,Forsinard Flows,,,,,,,,,,,,,,,,,,"4,969","6,029",,,,,"5,499",https://www.visitscotland.org/binaries/content/assets/dot-org/pdf/research-papers-2/wildlife-topic-paper-2017.pdf,
1489,Forvie,,,,,,,,,,,,,"25,000",,,,,,,,,,,"25,000",https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
1489,Forvie,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
555580983,Fowlmere,20800,29890,23400,9600,30600,,26900,21000,20700,,,,,,,,,,,,,,,22861,"Burton, G., pers. comm. In Balmford et al., (2015)",Camera
555581078,Frampton Marsh ,,,,,,,,,,,,,*,*,*,*,*,*,*,*,*,,,*,*,Camera
555581079,Freiston Shore,,,,,,,,,,,,,*,*,*,*,*,,,,,,,*,*,
10971,Fyfield Down,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10972,Gait Barrows,,,,,,,,,,,,,,,,,,*,,,,,,*,*,Camera
555581103,Garston Wood,,,,,,,,4000,4000,,,,,,,,,,,,,,,4000,"Burton, G., pers. comm. In Balmford et al., (2015)",
555581063,Geltsdale,,,,,,,,5000,5000,,,,,,,,,,,,,,,5000,"Burton, G., pers. comm. In Balmford et al., (2015)",
137318,Geltsdale & Glendue Fells,,,,,,,,5000,5000,,,,,,,,,,,,,,,5000,"Burton, G., pers. comm. In Balmford et al., (2015)",
11043,Glasdrum Wood,,,,,,,,,,,,,2870,,,,,,,,,,,2870,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,Camera
11043,Glasdrum Wood,,,,,,,,,,,,,,,,,,,,,,,*,*,*,Camera
11045,Glen Nant,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
1474,Glen Roy,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
387443,Glenmore,,,,,,,,,,,,,78264,,,,,,,,,,,"78,264",https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
169862,Glenmore Forest,,,,,,,,,,,,,78264,,,,,,,,,,,"78,264",https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
39878,Golitha Falls,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
12605,Gordano Valley,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
39879,Goss Moor,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11090,Gower Coast,,,,,,,,,,,,,,,,100000,,,,,,,,100000,"Hellawell, T., (NRW), pers. comm., (2019)",
39880,Gowk Bank,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
140602,Great Asby Scar,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
135758,Gruinart Flats,,,,,,,,,11000,,,,,,,,,,,,,,,11000,"Burton, G., pers. comm. In Balmford et al., (2015)",
395286,Gwlyptiroedd Casnewydd / Newport Wetlands,,,,,,,,,,,,,,,,94392,,,,,,,,94392,"Hellawell, T., (NRW), pers. comm., (2019)",
10975,Hales Wood,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
39881,Hallsenna Moor,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
137332,Ham Street Woods,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10976,Hamford Water,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142771,Hardington Moor,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10978,Hartland Moor,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581081,Havergate Island & Boyton Marshes,384,437,,120,144,,,,,,,,,,,,,,,,,,,271,"Burton, G., pers. comm. In Balmford et al., (2015)",
555581003,Haweswater,5310,4574,6492,,4358,,3529,2532,3836,,,,,,,,,,,,,,,4376,"Burton, G., pers. comm. In Balmford et al., (2015)",
555580985,Hayle Estuary,5931,8185,5760,,,,350,6000,6000,,,,,,,,,,,,,,,5371,"Burton, G., pers. comm. In Balmford et al., (2015)",
138583,Hayle Estuary & Carrack Gladden,5931,8185,5760,,,,350,6000,6000,,,,,,,,,,,,,,,5371,"Burton, G., pers. comm. In Balmford et al., (2015)",
11046,Hermaness,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
93270,High Leys,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
12164,Highbury Wood,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581115,Hodbarrow,,,,,,,,23000,23000,,,,,,,,,,,,,,,23000,"Burton, G., pers. comm. In Balmford et al., (2015)",
15808,Hog Cliff,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
1455,Holkham,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10981,Holme Fen,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11716,Holton Heath,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
341123,Horn Park Quarry,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142776,Humberhead Peatlands,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
93271,Ingleborough,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
387444,Invereshie and Inshriach,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
11048,Isle of May,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
555581034,Ken-Dee Marshes,1964,3815,2035,,1000,,,10000,10000,,,,,,,,,,,,,,,4802,"Burton, G., pers. comm. In Balmford et al., (2015)",
20579,Kenfig Pools and Dunes,,,,,,,,,,,,,,,,30000,,,,,,,,30000,"Hellawell, T., (NRW), pers. comm., (2019)",
10982,Kingley Vale,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
193677,Knockan Crag,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
10983,Knocking Hoe,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581065,Lake Vyrnwy,,,,,,,,,,,,,,,,,,,,,,,"30,513","30,513","Sheil, A., Rayment, G., and Burton, G., (2002)",
169617,Langley Wood,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
140141,Langley Wood and Homan's Copse,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
137433,Leighton Moss,92531,85546,61891,33635,105341,,119602,54929,76400,,,,,,,,,,,,,,,78734,"Burton, G., pers. comm. In Balmford et al., (2015)",Camera
137433,Leighton Moss,92531,85546,61891,33635,105341,,119602,54929,76400,,,,,,,,,,,,,,,78734,"Burton, G., pers. comm. In Balmford et al., (2015)",Camera
555581085,Leighton Moss,,,,,,,,,,,,,,,,,,,,,,,78456,78456,"Sheil, A., Rayment, G., and Burton, G., (2002)",Camera
