B.L..Scientific.name,order.Birdlife,family_name.Birdlife,Birdlife.Common.name.x,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,IUCNstatus,Extinction.risk,migration,tp,tl,habitat_1,colonial,log.mass,Africa.log.Range,ED_score,Sources
Dendropicos xantholophus,PICIFORMES,Picidae,Yellow-crested Woodpecker,5,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.916453949,6.43948427,4.201375,1
Euplectes afer,PASSERIFORMES,Ploceidae,Yellow-crowned Bishop,3,0.027777778,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Colonial,1.155336037,6.489684196,6.813678,1
Laniarius barbarus,PASSERIFORMES,Malaconotidae,Yellow-crowned Gonolek,5,0.016666667,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.673020907,6.451327329,4.27962,4
Melaenornis ardesiacus,PASSERIFORMES,Muscicapidae,Yellow-eyed Black-flycatcher,2,0,0,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.462397998,4.781868888,4.397438,4
Muscicapa sethsmithi,PASSERIFORMES,Muscicapidae,Yellow-footed Flycatcher,3,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,0.959041411,6.102998215,6.345638,1
Melignomon eisentrauti,PICIFORMES,Indicatoridae,Yellow-footed Honeyguide,5,0,1,0,0,NT,4,1,Diurnal,Omnivore,Forest,Not colonial,1.38381538,4.395605991,11.995333,2
Crithagra mozambica,PASSERIFORMES,Fringillidae,Yellow-fronted Canary,5,0.017857143,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Colonial,1.025305881,6.978060998,4.648847,2
Poicephalus flavifrons,PSITTACIFORMES,Psittacidae,Yellow-fronted Parrot,4,0.069444444,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,2.240549248,5.313316487,5.335881,5
Pogoniulus chrysoconus,PICIFORMES,Lybiidae,Yellow-fronted Tinkerbird,4,0.022727273,1,0,0,LC,5,1,Diurnal,Herbivore,Shrubland,Not colonial,1.033423755,7.008365705,6.187534,3
Ploceus flavipes,PASSERIFORMES,Ploceidae,Yellow-legged Weaver,1,0,0,0,0,VU,3,1,Diurnal,Carnivore,Forest,Not colonial,1.279725892,4.271705933,2.903939,2
Ploceus tricolor,PASSERIFORMES,Ploceidae,Yellow-mantled Weaver,4,0.020833333,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Colonial,1.56584781,6.023101561,2.89315,2
Euplectes macroura,PASSERIFORMES,Ploceidae,Yellow-mantled Widowbird,2,0.041666667,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Colonial,1.340444115,6.601276098,3.916635,3
Pternistis leucoscepus,GALLIFORMES,Phasianidae,Yellow-necked Francolin,5,0.014705882,1,0,0,LC,5,1,Diurnal,Herbivore,Shrubland,Not colonial,2.812244697,6.314472369,3.669267,2
Pogoniulus bilineatus,PICIFORMES,Lybiidae,Yellow-rumped Tinkerbird,5,0,1,0,0,LC,5,1,Diurnal,Herbivore,Aquatic,Not colonial,1.064458003,6.852894172,9.325481,4
Buccanodon duchaillui,PICIFORMES,Lybiidae,Yellow-spotted Barbet,5,0.034090909,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,1.621176274,6.534748811,16.224647,2
Gymnoris pyrgita,PASSERIFORMES,Passeridae,Yellow-spotted Bush-sparrow,4,0,1,0,0,LC,5,1,Diurnal,Omnivore,Artificial,Not colonial,1.382017043,6.204323337,11.664571,1
Phyllastrephus flavostriatus,PASSERIFORMES,Pycnonotidae,Yellow-streaked Greenbul,5,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.45484486,5.644153566,9.108595,1
Apalis flavigularis,PASSERIFORMES,Cisticolidae,Yellow-throated Apalis,6,0.017857143,1,0,0,EN,2,2,Diurnal,Carnivore,Forest,Not colonial,0.983226546,2.710274554,4.970178,1
Gymnoris superciliaris,PASSERIFORMES,Passeridae,Yellow-throated Bush-sparrow,5,0,1,0,0,LC,5,1,Diurnal,Omnivore,Open vegetation,Not colonial,1.380211242,6.594724543,12.453565,1
