Order.IUCN,Scientific.name,Common.name.IUCN,ED_score,IUCNstatus,Extinction.risk,habitat_1,tl,social,Colour.richness,Distinct.patterning,Unusual.appendages,Unusual.adornments,tp,Africa.log.Range,log.mass,Sources
PRIMATES,Cercopithecus diana,"Diana/roloway Monkey, Roloway Monkey, Diana Guenon, Diana Monkey",5.632861069,VU,3,Mosaic,Herbivore,Group living,4,1,1,0,Diurnal,5.322868074,0.639377902,5
PRIMATES,Cercopithecus doggetti,Silver monkey,6.303432815,LC,5,Forest,Herbivore,Group living,4,1,1,0,Diurnal,6.364985474,0.702541681,1
PRIMATES,Cercopithecus erythrogaster,"White-throated Monkey, White-throated Guenon, Red-bellied Monkey, Red-bellied Guenon",5.823576444,VU,3,Forest,Herbivore,Group living,5,1,1,0,Diurnal,4.865870727,0.537174098,1
PRIMATES,Cercopithecus erythrotis,"Red-eared Monkey, Russet-eared Guenon, Red-eared Guenon",5.971089862,VU,3,Forest,Herbivore,Group living,6,1,1,0,Diurnal,4.737058297,0.512548324,2
PRIMATES,Cercopithecus hamlyni,"Owl-faced Monkey, Hamlyn's Monkey, Owl-faced Guenon",12.58259429,VU,3,Forest,Herbivore,Group living,6,1,0,0,Diurnal,5.377130004,0.84509804,4
PRIMATES,Cercopithecus kandti,Golden monkey,6.303432815,LC,5,Forest,Herbivore,Group living,7,1,1,0,Diurnal,6.364985474,0.702541681,3
PRIMATES,Cercopithecus lowei,Lowe's Monkey,4.801047826,LC,5,Mosaic,Herbivore,Group living,7,1,1,0,Diurnal,5.529819184,0.591064607,1
PRIMATES,Cercopithecus mitis,"Blue Monkey, Samango, Golden Monkey, Diademed Monkey, Sykes' Monkey",6.303432815,LC,5,Forest,Herbivore,Group living,4,1,1,0,Diurnal,6.361227476,0.702541681,20
PRIMATES,Cercopithecus mona,"Mona Monkey, Mona Guenon",5.607628971,LC,5,Forest,Herbivore,Group living,7,1,1,0,Diurnal,5.789931317,0.599901622,3
PRIMATES,Cercopithecus neglectus,"De Brazza's Monkey, De Brazza's Monkey",8.637839806,LC,5,Forest,Herbivore,Group living,4,1,1,1,Diurnal,6.359753324,0.726280463,4
PRIMATES,Cercopithecus nictitans,"Putty-nosed Monkey, Spot-nosed Guenon, Greater Spot-nosed Guenon, Greater White-nosed Monkey, White-nosed Guenon",9.686755519,LC,5,Forest,Herbivore,Group living,4,1,1,0,Diurnal,6.126001581,0.720730542,5
PRIMATES,Cercopithecus petaurista,"Lesser Spot-nosed Monkey, Lesser White-nosed Guenon, Lesser Spot-nosed Guenon, Lesser White-nosed Monkey",5.695201422,LC,5,Mosaic,Herbivore,Group living,5,1,1,0,Diurnal,5.724240268,0.509695697,3
PRIMATES,Cercopithecus pogonias,Crested mona monkey,4.724675827,LC,5,Forest,Herbivore,Group living,6,1,1,1,Diurnal,5.611187356,0.62838893,2
PRIMATES,Cercopithecus wolfi,Wolf's mona monkey,5.607628971,LC,5,Forest,Herbivore,Group living,7,1,1,0,Diurnal,5.789900352,0.512575009,3
PRIMATES,Chlorocebus aethiops,"Grivet Monkey, Tantalus, Malbrouk Monkey, Green Monkey, Vervet Monkey",4.592547275,LC,5,Mosaic,Herbivore,Group living,7,1,1,0,Diurnal,6.058608145,0.567730787,4
PRIMATES,Chlorocebus cynosuros,Malbrouck Monkey,4.452831039,LC,5,Forest,Omnivore,Group living,7,1,1,0,Diurnal,6.488985322,0.596597096,1
PRIMATES,Chlorocebus djamdjamensis,"Bale Monkey, Bale Mountains Grivet, Djam-djam",4.567379584,VU,3,Mosaic,Omnivore,Group living,6,1,1,0,Diurnal,3.96120242,0.596597096,3
PRIMATES,Chlorocebus pygerythrus,Vervet,4.57066834,LC,5,Mosaic,Omnivore,Group living,5,1,1,0,Diurnal,6.657279076,0.596597096,15
PRIMATES,Chlorocebus sabaeus,Green Monkey,4.565321692,LC,5,Mosaic,Omnivore,Group living,8,1,1,0,Diurnal,6.180336324,0.596597096,6
PRIMATES,Chlorocebus tantalus,Tantalus Monkey,4.520648272,LC,5,Mosaic,Omnivore,Group living,6,1,1,0,Diurnal,6.600790519,0.672097858,1
CETARTIODACTYLA,Choeropsis liberiensis,Pygmy Hippopotamus,33.17906211,EN,2,Mosaic,Herbivore,Solitary,2,0,0,0,Nocturnal,5.144703249,2.371070006,8
CARNIVORA,Civettictis civetta,African Civet,17.05318869,LC,5,Forest,Omnivore,Solitary,5,1,0,1,Nocturnal,7.110184748,1.081908,13
PRIMATES,Colobus angolensis,"Angola Colobus, Angolan Colobus, Angolan Black-and-white Colobus",6.294615704,LC,5,Forest,Herbivore,Group living,3,1,1,1,Diurnal,6.359932375,0.953774667,9
PRIMATES,Colobus guereza,"Guereza, Magistrate Colobus, Eastern Black-and-white Colobus",4.449100223,LC,5,Forest,Herbivore,Group living,3,1,1,0,Diurnal,6.484382221,0.996769021,20
PRIMATES,Colobus polykomos,"King Colobus, Western Black-and-white Colobus, Western Pied Colobus, Ursine Black-and-white Colobus",4.171116621,VU,3,Forest,Herbivore,Group living,3,1,1,1,Diurnal,5.531992311,0.944348909,3
PRIMATES,Colobus satanas,Black Colobus,8.161649688,VU,3,Forest,Herbivore,Group living,2,0,1,0,Diurnal,5.515041989,0.956903802,1
PRIMATES,Colobus vellerosus,"White-thighed Colobus, White-thighed Black-and-white Colobus, Geoffroy's Black-and-white Colobus",4.171116621,VU,3,Forest,Herbivore,Group living,3,1,1,0,Diurnal,5.678027709,0.886500877,3
CETARTIODACTYLA,Connochaetes gnou,"Black Wildebeest, White-tailed Gnu",8.810292431,LC,5,Open Vegetation,Herbivore,Group living,6,1,0,1,Nocturnal,5.605941296,2.19464622,10
CETARTIODACTYLA,Connochaetes taurinus,"Common Wildebeest, Blue Wildebeest, Blue & White-bearded Wildebeest",8.810292431,LC,5,Open Vegetation,Herbivore,Group living,3,1,0,1,Nocturnal,6.489251019,2.298022278,21
CARNIVORA,Crocuta crocuta,Spotted Hyaena,20.6948818,LC,5,Mosaic,Carnivore,Group living,4,1,0,0,Nocturnal,7.095086092,1.80188357,19
CARNIVORA,Crossarchus obscurus,"Common Cusimanse, Cusimanse, Long-nosed Cusimanse",7.474429967,LC,5,Mosaic,Omnivore,Group living,4,0,0,0,Diurnal,5.691797676,0.144602226,2
CARNIVORA,Cynictis penicillata,Yellow Mongoose,12.91947539,LC,5,Open Vegetation,Carnivore,Group living,5,0,0,0,Diurnal,6.351446952,-0.158384034,4
CETARTIODACTYLA,Damaliscus lunatus,"Topi, Tsessebe, Tiang, Korrigum",10.25615444,LC,5,Forest,Herbivore,Group living,6,0,0,1,Diurnal,6.264688868,2.133539962,19
CETARTIODACTYLA,Damaliscus pygargus,"Blesbok, Bontebok",12.88014486,LC,5,Mosaic,Herbivore,Group living,5,0,0,1,Diurnal,5.595961534,1.890893343,9
HYRACOIDEA,Dendrohyrax arboreus,"Southern Tree Hyrax, Southern Tree Dassie, Eastern Tree Hyrax, Eastern Tree Dassie",30.09473275,LC,5,Forest,Herbivore,Solitary,5,0,0,0,Nocturnal,6.387512724,0.474378001,5
HYRACOIDEA,Dendrohyrax dorsalis,"Western Tree Hyrax, Western Tree Dassie",30.09473275,LC,5,Forest,Herbivore,Solitary,4,1,0,0,Nocturnal,6.484963663,0.501742362,2
HYRACOIDEA,Dendrohyrax validus,Eastern Tree Hyrax,30.09473275,NT,4,Forest,Herbivore,Solitary,7,1,0,0,Nocturnal,4.532396793,0.474378001,3
PERISSODACTYLA,Diceros bicornis,"Black Rhinoceros, Hook-lipped Rhinoceros",26.63195412,CR,1,Forest,Herbivore,Solitary,1,0,0,1,Nocturnal,6.804633665,2.998233411,24
CARNIVORA,Dologale dybowskii,Pousargues's Mongoose,16.15000759,NT,4,Forest,Carnivore,Solitary,4,0,1,0,Diurnal,5.685329202,-0.441387417,1
CETARTIODACTYLA,Dorcatragus megalotis,"Beira, Beira Antelope",9.658719457,VU,3,Bare,Herbivore,Group living,5,1,0,1,Diurnal,4.705021284,1.038147863,1
PERISSODACTYLA,Equus africanus,"African Wild Ass, Ass, African Ass",11.56736878,CR,1,Bare,Herbivore,Solitary,4,1,0,1,Nocturnal,4.821681224,2.21747997,2
PERISSODACTYLA,Equus grevyi,Grevy's Zebra,11.39559598,EN,2,Mosaic,Herbivore,Solitary,3,1,0,1,Diurnal,4.958241289,2.610660536,15
PERISSODACTYLA,Equus quagga,"Plains Zebra, Painted Zebra, Common Zebra, Burchell's Zebra",12.68933241,NT,4,Mosaic,Herbivore,Group living,3,1,0,1,Cathemeral,6.363803672,2.602059991,23
PERISSODACTYLA,Equus zebra,"Mountain Zebra, Hartmann's Mountain Zebra",11.410093,VU,3,Open Vegetation,Herbivore,Group living,5,1,0,1,Diurnal,4.996797328,2.45096023,14
PRIMATES,Erythrocebus patas,Patas Monkey,8.357948991,LC,5,Mosaic,Herbivore,Group living,7,1,0,1,Diurnal,6.852958428,0.901256657,9
CETARTIODACTYLA,Eudorcas rufifrons,Red-fronted Gazelle,3.819275961,VU,3,Mosaic,Herbivore,Group living,7,1,0,1,Crepuscular,6.360161817,1.431360064,4
CETARTIODACTYLA,Eudorcas thomsonii,Thomson's Gazelle,3.819275961,NT,4,Mosaic,Herbivore,Group living,6,1,0,1,Diurnal,5.19667838,1.359976368,15
PRIMATES,Euoticus elegantulus,"Southern Needle-clawed Galago, Western Needle-clawed Galago, Elegant Galago, Western Needle-clawed Bushbaby, Elegant Needle-clawed Galago",12.31718714,LC,5,Forest,Omnivore,Solitary,5,1,1,0,Nocturnal,5.893197759,-0.52947191,1
CARNIVORA,Felis margarita,"Sand Cat, Sand Dune Cat",6.306981791,LC,5,Bare,Carnivore,Solitary,7,1,0,0,Nocturnal,6.13417261,0.450766258,5
CARNIVORA,Felis nigripes,"Black-footed Cat, Small-spotted Cat",6.306981791,VU,3,Open Vegetation,Carnivore,Solitary,5,1,1,0,Nocturnal,6.289440488,0.134422564,6
CARNIVORA,Felis silvestris,"European Wild Cat, Wildcat",5.662427177,LC,5,Bare,Carnivore,Solitary,7,1,0,0,Nocturnal,7.313363806,0.660208799,16
PRIMATES,Galago gallarum,"Somali Lesser Galago, Somali Galago",13.15196318,LC,5,Mosaic,Omnivore,Solitary,5,1,1,0,Nocturnal,5.658117157,-0.602059991,1
PRIMATES,Galago matschiei,"Spectacled Lesser Galago, Matschie's Galago, Lesser Needle-clawed Galago, Eastern Needle-clawed Galago, Spectacled Galago, Eastern Needle-clawed Bushbaby",13.29370612,LC,5,Forest,Omnivore,Solitary,5,1,1,0,Nocturnal,4.940178778,-0.674463813,3
PRIMATES,Galago moholi,"Southern Lesser Galago, South African Lesser Galago, South African Galago, Mohol Galago",14.75341931,LC,5,Forest,Omnivore,Solitary,6,0,1,0,Nocturnal,6.628093019,-0.716789259,6
PRIMATES,Galago senegalensis,"Northern Lesser Galago, Senegal Galago, Lesser Bushbaby, Lesser Galago, Senegal Lesser Galago",18.74322209,LC,5,Mosaic,Omnivore,Solitary,4,0,1,0,Nocturnal,6.923299377,-0.667157733,4
PRIMATES,Galagoides demidoff,"Demidoff's Dwarf Galago, Dwarf Galago, Dwarf Bushbaby, Demidoff's Galago",15.97016999,LC,5,Forest,Omnivore,Solitary,4,0,1,0,Nocturnal,6.642928327,-1.180192935,3
PRIMATES,Galagoides thomasi,"Thomas's Dwarf Galago, Thomas's Bushbaby",15.73804748,LC,5,Forest,Omnivore,Solitary,6,0,1,0,Nocturnal,6.652978874,-0.930516906,2
PRIMATES,Galagoides zanzibaricus,"Zanzibar/udzungwa Galago, Zanzibar Bushbaby, Udzungwa Bushbaby, Zanzibar Galago, Matundu Dwarf Galago",19.23831929,LC,5,Forest,Omnivore,Solitary,7,0,1,0,Nocturnal,3.804963284,-0.83164986,1
CETARTIODACTYLA,Gazella dorcas,Dorcas Gazelle,3.42204321,VU,3,Bare,Herbivore,Group living,5,0,0,1,Nocturnal,6.945896423,1.194124273,8
CETARTIODACTYLA,Gazella leptoceros,"Slender-horned Gazelle, Rhim",2.544764725,EN,2,Bare,Herbivore,Group living,5,0,0,1,Nocturnal,5.781242327,1.391742039,3
CETARTIODACTYLA,Gazella spekei,Speke's Gazelle,3.719751092,EN,2,Open Vegetation,Herbivore,Group living,5,1,0,1,Crepuscular,5.233872171,1.301029996,2
CARNIVORA,Genetta abyssinica,"Ethiopian Genet, Abyssinian Genet",7.309741791,NT,4,Mosaic,Carnivore,Solitary,4,1,1,0,Nocturnal,5.695491984,0.14782467,1
CARNIVORA,Genetta angolensis,"Miombo Genet, Angolan Genet",7.070246958,LC,5,Forest,Carnivore,Solitary,7,1,1,0,Nocturnal,6.145241235,0.269428879,2
CARNIVORA,Genetta genetta,"Common Genet, Ibiza Genet, Ibiza Common Genet",9.07007983,LC,5,Mosaic,Omnivore,Solitary,4,1,1,0,Nocturnal,7.055512354,0.244566554,11
CARNIVORA,Genetta maculata,"Central African Large-spotted Genet, Panther Genet, Rusty-spotted Genet",6.069394224,LC,5,Forest,Carnivore,Solitary,6,1,1,0,Nocturnal,7.108240798,0.290034612,4
